zone,year,month,built_up_percent,method
4,2022,5,69.64954521134297,extrapolated
5,2022,5,80.05450070323488,extrapolated
6,2022,5,59.39518430305362,extrapolated
7,2022,5,24.53317916342903,extrapolated
8,2022,5,72.03506675552084,extrapolated
9,2022,5,30.239851151309505,extrapolated
10,2022,5,78.79641772023311,extrapolated
11,2022,5,83.05008463216805,extrapolated
12,2022,5,90.09082763377576,extrapolated
1,2022,6,87.05662243822715,extrapolated
2,2022,6,86.08539500870826,extrapolated
3,2022,6,32.478759809209144,extrapolated
4,2022,6,69.64954521134297,extrapolated
5,2022,6,80.05450070323488,extrapolated
6,2022,6,59.39518430305362,extrapolated
7,2022,6,24.53317916342903,extrapolated
8,2022,6,72.03506675552084,extrapolated
9,2022,6,30.239851151309505,extrapolated
10,2022,6,78.79641772023311,extrapolated
11,2022,6,83.05008463216805,extrapolated
12,2022,6,90.09082763377576,extrapolated
1,2022,7,87.05662243822715,extrapolated
2,2022,7,86.08539500870826,extrapolated
3,2022,7,32.478759809209144,extrapolated
4,2022,7,69.64954521134297,extrapolated
5,2022,7,80.05450070323488,extrapolated
6,2022,7,59.39518430305362,extrapolated
7,2022,7,24.53317916342903,extrapolated
8,2022,7,72.03506675552084,extrapolated
9,2022,7,30.239851151309505,extrapolated
10,2022,7,78.79641772023311,extrapolated
11,2022,7,83.05008463216805,extrapolated
12,2022,7,90.09082763377576,extrapolated
1,2022,8,87.05662243822715,extrapolated
2,2022,8,86.08539500870826,extrapolated
3,2022,8,32.478759809209144,extrapolated
4,2022,8,69.64954521134297,extrapolated
5,2022,8,80.05450070323488,extrapolated
6,2022,8,59.39518430305362,extrapolated
7,2022,8,24.53317916342903,extrapolated
8,2022,8,72.03506675552084,extrapolated
9,2022,8,30.239851151309505,extrapolated
10,2022,8,78.79641772023311,extrapolated
11,2022,8,83.05008463216805,extrapolated
12,2022,8,90.09082763377576,extrapolated
1,2022,9,87.05662243822715,extrapolated
2,2022,9,86.08539500870826,extrapolated
3,2022,9,32.478759809209144,extrapolated
4,2022,9,69.64954521134297,extrapolated
5,2022,9,80.05450070323488,extrapolated
6,2022,9,59.39518430305362,extrapolated
7,2022,9,24.53317916342903,extrapolated
8,2022,9,72.03506675552084,extrapolated
9,2022,9,30.239851151309505,extrapolated
10,2022,9,78.79641772023311,extrapolated
11,2022,9,83.05008463216805,extrapolated
12,2022,9,90.09082763377576,extrapolated
1,2022,10,87.05662243822715,extrapolated
2,2022,10,86.08539500870826,extrapolated
3,2022,10,32.478759809209144,extrapolated
4,2022,10,69.64954521134297,extrapolated
5,2022,10,80.05450070323488,extrapolated
6,2022,10,59.39518430305362,extrapolated
7,2022,10,24.53317916342903,extrapolated
8,2022,10,72.03506675552084,extrapolated
9,2022,10,30.239851151309505,extrapolated
10,2022,10,78.79641772023311,extrapolated
11,2022,10,83.05008463216805,extrapolated
12,2022,10,90.09082763377576,extrapolated
1,2022,11,87.05662243822715,extrapolated
2,2022,11,86.08539500870826,extrapolated
3,2022,11,32.478759809209144,extrapolated
4,2022,11,69.64954521134297,extrapolated
5,2022,11,80.05450070323488,extrapolated
6,2022,11,59.39518430305362,extrapolated
7,2022,11,24.53317916342903,extrapolated
